,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
10,GCF_001027045.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2752,Best-placed reference protein set; GeneMarkS-2+,SMRT portal v. 1; CLC Workbench v. 8,SAMN03699895,RKI4,,,Complete Genome,1,2725654,,33.0,,2,2,96.57,0.39,v1.2.3,PRJNA284222,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCF_001027045.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
11,GCF_001027105.1,Staphylococcus aureus,homo sapiens,clinical,,,,2764,Best-placed reference protein set; GeneMarkS-2+,HGAP3 v. 2.3.0,SAMN03651231,DSM 20231,aureus,,Complete Genome,1,2755072,,33.0,210.0,2,2,98.61,0.54,v1.2.4,PRJNA283471,,homo sapiens | clinical,human,clinical,GCF_001027105.1,,,,Clinical,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
12,GCF_001046095.2,Staphylococcus aureus,homo sapiens,,,,,2886,Best-placed reference protein set; GeneMarkS-2+,HGAPv2 v. 2,SAMN02743812,V2200,,,Complete Genome,1,2830976,,33.0,,2,2,98.47,2.04,v1.2.3,PRJNA246185,,homo sapiens,human,,GCF_001046095.2,,Venezuela,,,,Human,,Human,osteomyelitis,"Human, Homo sapiens",Homo sapiens
13,GCF_001078665.1,Staphylococcus aureus,,soil,,genome sequencing of staphylococcus aureus,,2706,Best-placed reference protein set; GeneMarkS-2+,SOAPdenovo v. 2.04,SAMN03774725,PX03,,,Scaffold,3,411917,,33.0,15.0,17,15,98.47,0.39,v1.2.3,PRJNA286954,,soil | genome sequencing of staphylococcus aureus,environment,genome sequencing of staphylococcus aureus,GCF_001078665.1,,China,,soil,,,,,,,
14,GCF_001191895.1,Staphylococcus aureus,homo sapiens,nasal,,,,3003,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1324737,USFL024,,,Scaffold,3,346329,,32.5,100.0,36,35,97.94,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001191895.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
15,GCF_001192095.1,Staphylococcus aureus,homo sapiens,nasal,,,,2949,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710086,FL358,,,Scaffold,3,346516,,32.5,100.0,39,38,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001192095.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
16,GCF_001192675.1,Staphylococcus aureus,homo sapiens,nasal,,,,3049,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1324516,USFL204,,,Scaffold,2,472754,,32.5,100.0,31,27,97.85,0.85,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001192675.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
17,GCF_001192895.1,Staphylococcus aureus,homo sapiens,not known,,,,2829,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1708990,BSAR747,,,Scaffold,7,125436,,32.5,100.0,38,37,98.78,0.39,v1.2.4,PRJEB2655,,homo sapiens | not known,human,not known,GCF_001192895.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
18,GCF_001194825.1,Staphylococcus aureus,homo sapiens,nasal,,,,2931,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710081,FL368,,,Scaffold,6,160616,,32.5,100.0,45,44,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001194825.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
19,GCF_001195105.1,Staphylococcus aureus,canine,not known,,,,2744,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1463435,BSAR163_2,,,Scaffold,5,163552,,32.5,100.0,46,45,98.62,0.39,v1.2.4,PRJEB2655,,canine | not known,dog,not known,GCF_001195105.1,,United Kingdom,,,,Dog,,Nonhuman Mammal,,"Dog, Canis lupus familiaris",Canis lupus familiaris
20,GCF_001195205.1,Staphylococcus aureus,canine,granuloma,,,,2803,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1463416,BSAR160_2,,,Scaffold,4,255500,,32.5,100.0,33,32,98.7,0.39,v1.2.4,PRJEB2655,,canine | granuloma,dog,granuloma,GCF_001195205.1,,United Kingdom,,granuloma,,Dog,,Nonhuman Mammal,,"Dog, Canis lupus familiaris",Canis lupus familiaris
21,GCF_001196435.1,Staphylococcus aureus,homo sapiens,nasal,,,,2927,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710115,FL363,,,Scaffold,4,326387,,32.5,100.0,25,22,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001196435.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
22,GCF_001200875.1,Staphylococcus aureus,homo sapiens,nasal,,,,2891,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710079,FL367,,,Scaffold,3,455052,,32.5,100.0,24,23,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001200875.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
23,GCF_001201535.1,Staphylococcus aureus,homo sapiens,nasal,,,,2749,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710085,FL385,,,Scaffold,6,172444,,32.5,100.0,44,42,98.57,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001201535.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
24,GCF_001202595.1,Staphylococcus aureus,homo sapiens,nasal,,,,2925,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710084,FL356,,,Scaffold,3,346348,,32.5,100.0,31,30,97.87,0.39,v1.2.4,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001202595.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
25,GCF_001203975.1,Staphylococcus aureus,homo sapiens,blood,,,,2746,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1033436,BSAR57,,,Scaffold,6,154283,,32.5,100.0,36,34,98.45,0.74,v1.2.4,PRJEB2655,,homo sapiens | blood,human,blood,GCF_001203975.1,,Denmark,,blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
26,GCF_001204955.1,Staphylococcus aureus,homo sapiens,nasal,,,,2885,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710087,FL371,,,Scaffold,2,825403,,32.5,100.0,21,18,98.57,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001204955.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
27,GCF_001205315.1,Staphylococcus aureus,homo sapiens,nasal,,,,2895,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710076,FL366,,,Scaffold,2,664044,,32.5,100.0,21,20,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001205315.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
28,GCF_001208805.1,Staphylococcus aureus,homo sapiens,nasal,,,,2960,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1324762,USFL298,,,Scaffold,2,629376,,32.5,100.0,24,20,97.99,0.6,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001208805.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
29,GCF_001210685.1,Staphylococcus aureus,homo sapiens,nasal,,,,2938,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710078,FL359,,,Scaffold,3,346482,,32.5,100.0,34,32,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001210685.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
30,GCF_001211065.1,Staphylococcus aureus,homo sapiens,nasal,,,,2992,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710113,FL364,,,Scaffold,4,346504,,32.5,100.0,26,24,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001211065.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
31,GCF_001211625.1,Staphylococcus aureus,homo sapiens,soft tissue,,,,2969,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1324585,USFL016,,,Scaffold,2,567822,,32.5,100.0,26,24,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | soft tissue,human,soft tissue,GCF_001211625.1,,USA,,soft tissue,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
32,GCF_001212665.1,Staphylococcus aureus,homo sapiens,nasal,,,,3000,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710080,FL360,,,Scaffold,3,346438,,32.5,100.0,30,29,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001212665.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
33,GCF_001223645.1,Staphylococcus aureus,homo sapiens,not known,,,,2749,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734692,07-01744,,,Scaffold,7,123684,,32.5,143.0,41,37,98.76,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001223645.1,,Nigeria,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
34,GCF_001224045.1,Staphylococcus aureus,homo sapiens,not known,,,,2759,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734786,07-02992,,,Scaffold,7,125491,,32.5,70.0,40,39,98.82,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001224045.1,,Australia,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
35,GCF_001224085.1,Staphylococcus aureus,homo sapiens,not known,,,,2710,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030156,ST22,,,Scaffold,4,194546,,32.5,178.0,33,31,98.23,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001224085.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
36,GCF_001224165.1,Staphylococcus aureus,homo sapiens,not known,,,,2775,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734724,08-01668,,,Scaffold,10,86741,,32.5,63.0,49,48,98.23,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001224165.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
37,GCF_001225545.1,Staphylococcus aureus,homo sapiens,not known,,,,2736,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734721,09-00683,,,Scaffold,9,109567,,32.5,98.0,46,42,97.92,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001225545.1,,Namibia,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
38,GCF_001225625.1,Staphylococcus aureus,homo sapiens,not known,,,,2725,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030281,ST22,,,Scaffold,5,154504,,32.5,217.0,37,35,98.17,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001225625.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
39,GCF_001225965.1,Staphylococcus aureus,homo sapiens,not known,,,,2820,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734778,07-03350,,,Scaffold,8,125316,,32.5,65.0,48,46,98.74,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001225965.1,,Denmark,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
40,GCF_001226125.1,Staphylococcus aureus,homo sapiens,not known,,,,2784,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734702,06-02751,,,Scaffold,9,106544,,32.5,84.0,46,42,98.33,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001226125.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
41,GCF_001226465.1,Staphylococcus aureus,homo sapiens,not known,,,,2949,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030179,ST22,,,Scaffold,6,173932,,32.5,491.0,39,37,98.72,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001226465.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
42,GCF_001226565.1,Staphylococcus aureus,homo sapiens,not known,,,,2797,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030213,ST22,,,Scaffold,5,161972,,32.5,297.0,34,32,98.7,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001226565.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
43,GCF_001226785.1,Staphylococcus aureus,homo sapiens,not known,,,,2689,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734708,06-01347,,,Scaffold,6,138641,,32.5,84.0,40,38,98.15,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001226785.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
44,GCF_001227105.1,Staphylococcus aureus,homo sapiens,not known,,,,2789,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734746,07-03346,,,Scaffold,6,150508,,32.5,61.0,45,42,98.62,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001227105.1,,Czech Republic,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
45,GCF_001227685.1,Staphylococcus aureus,homo sapiens,not known,,,,2908,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030146,ST22,,,Scaffold,7,165424,,32.5,270.0,42,40,98.78,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001227685.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
46,GCF_001227925.1,Staphylococcus aureus,homo sapiens,not known,,,,2750,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734691,07-01932,,,Scaffold,7,127159,,32.5,152.0,48,39,98.54,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001227925.1,,Sudan,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
47,GCF_001228025.1,Staphylococcus aureus,homo sapiens,not known,,,,2817,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030316,ST22,,,Scaffold,6,169626,,32.5,226.0,39,38,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001228025.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
48,GCF_001228085.1,Staphylococcus aureus,homo sapiens,not known,,,,2824,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030288,ST22,,,Scaffold,4,252957,,32.5,310.0,27,26,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001228085.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
49,GCF_001228345.1,Staphylococcus aureus,homo sapiens,not known,,,,2800,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030246,ST22,,,Scaffold,5,252951,,32.5,197.0,29,27,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001228345.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
50,GCF_001228385.1,Staphylococcus aureus,homo sapiens,not known,,,,2769,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734683,07-01319,,,Scaffold,8,120457,,32.5,72.0,42,37,98.33,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001228385.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
51,GCF_001228505.1,Staphylococcus aureus,homo sapiens,not known,,,,2782,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030141,ST22,,,Scaffold,4,219117,,32.5,136.0,29,26,98.8,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001228505.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
52,GCF_001228765.1,Staphylococcus aureus,homo sapiens,not known,,,,2793,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734697,07-00061,,,Scaffold,7,125309,,32.5,107.0,44,42,97.47,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001228765.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
53,GCF_001229305.1,Staphylococcus aureus,homo sapiens,not known,,,,2831,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030245,ST22,,,Scaffold,4,252586,,32.5,229.0,31,30,96.67,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001229305.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
54,GCF_001229405.1,Staphylococcus aureus,homo sapiens,not known,,,,2845,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030214,ST22,,,Scaffold,6,125389,,32.5,165.0,39,38,98.23,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001229405.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
55,GCF_001229525.1,Staphylococcus aureus,homo sapiens,not known,,,,2827,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734743,07-03351,,,Scaffold,7,132607,,32.5,62.0,45,42,98.74,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001229525.1,,Denmark,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
56,GCF_001229705.1,Staphylococcus aureus,homo sapiens,not known,,,,2803,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030192,ST22,,,Scaffold,5,236561,,32.5,146.0,28,27,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001229705.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
57,GCF_001229865.1,Staphylococcus aureus,homo sapiens,not known,,,,2805,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030313,ST22,,,Scaffold,6,153749,,32.5,281.0,37,35,98.82,0.42,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001229865.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
58,GCF_001230005.1,Staphylococcus aureus,homo sapiens,not known,,,,2853,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030227,ST22,,,Scaffold,5,219121,,32.5,336.0,33,32,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001230005.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
59,GCF_001230105.1,Staphylococcus aureus,homo sapiens,not known,,,,2839,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030331,ST22,,,Scaffold,5,163306,,32.5,165.0,35,33,98.79,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001230105.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
60,GCF_001231565.1,Staphylococcus aureus,homo sapiens,not known,,,,2811,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734720,04-03111,,,Scaffold,10,106502,,32.5,92.0,46,44,98.23,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001231565.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
61,GCF_001231805.1,Staphylococcus aureus,homo sapiens,not known,,,,2863,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030317,ST22,,,Scaffold,5,176752,,32.5,204.0,33,31,98.77,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001231805.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
62,GCF_001231865.1,Staphylococcus aureus,homo sapiens,not known,,,,2717,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030198,ST22,,,Scaffold,4,218750,,32.5,172.0,27,26,98.78,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001231865.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
