Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCF_000815085.1	Staphylococcus aureus	NA	trypticase soy agar	NA	blue light (450 nm) @110 j/cm2	NA	2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251898	ATCC BAA1680	NA	NA	Complete Genome	1	2872779	NA	33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	NA	trypticase soy agar | blue light (450 nm) @110 j/cm2	NA
GCF_000815125.1	Staphylococcus aureus	NA	trypticase soy agar	NA	blue light (450 nm) @110 j/cm2	NA	2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar v. Version 12.0	SAMN03251894	ATCC BAA1680	NA	NA	Complete Genome	1	2872764	NA	33	20	1	1	97.99	0.39	v1.2.3	PRJNA268517	NA	trypticase soy agar | blue light (450 nm) @110 j/cm2	NA
GCF_000815165.1	Staphylococcus aureus	NA	trypticase soy agar	NA	control (no exposure)	NA	2879	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251899	ATCC BAA1680	NA	NA	Complete Genome	1	2872779	NA	33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	NA	trypticase soy agar | control (no exposure)	NA
GCF_000815205.1	Staphylococcus aureus	NA	trypticase soy agar	NA	control (no exposure)	NA	2880	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251895	ATCC BAA1680	NA	NA	Complete Genome	1	2872781	NA	33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	NA	trypticase soy agar | control (no exposure)	NA
GCF_000815245.1	Staphylococcus aureus	NA	trypticase soy agar	NA	blue light (450 nm) @3 j/cm2	NA	2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251896	ATCC BAA1680	NA	NA	Complete Genome	1	2872771	NA	33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	NA	trypticase soy agar | blue light (450 nm) @3 j/cm2	NA
GCF_000932245.1	Staphylococcus aureus	homo sapiens	surgical wound	NA	NA	NA	2918	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. NOV-2014	SAMN03253089	P180	NA	NA	Scaffold	5	202021	NA	33	185	47	45	98.54	0.39	v1.2.3	PRJNA269214	NA	homo sapiens | surgical wound	human
GCF_000934185.1	Staphylococcus aureus	NA	human_physical	NA	staphylococcous aureus methicillin resistant clinical isolate	NA	2745	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339002	Staphylococcous aureus	NA	NA	Chromosome	8	130386	NA	32.5	30	30	1	98.11	0.39	v1.2.3	PRJNA274731	NA	human_physical | staphylococcous aureus methicillin resistant clinical isolate	human
GCF_000934205.1	Staphylococcus aureus	NA	human_physical	NA	staphylococcous aureus methicillin resistant clinical isolate	NA	2648	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339003	Staphylococcous aureus	NA	NA	Chromosome	6	166699	NA	32.5	30	31	1	97.46	0.3	v1.2.3	PRJNA274731	NA	human_physical | staphylococcous aureus methicillin resistant clinical isolate	human
GCF_000934245.1	Staphylococcus aureus	NA	human_physical	NA	staphylococcous aureus methicillin resistant clinical isolate	NA	2721	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339012	Staphylococcous aureus	NA	NA	Chromosome	6	182434	NA	32.5	30	27	1	98.57	0.34	v1.2.3	PRJNA274731	NA	human_physical | staphylococcous aureus methicillin resistant clinical isolate	human
GCF_000934265.1	Staphylococcus aureus	NA	human_physical	NA	staphylococcous aureus methicillin resistant clinical isolate	NA	2716	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339013	Staphylococcous aureus	NA	NA	Chromosome	6	146686	NA	32.5	30	26	1	98.4	0.34	v1.2.3	PRJNA274731	NA	human_physical | staphylococcous aureus methicillin resistant clinical isolate	human
GCF_000934925.1	Staphylococcus aureus	NA	human_physical	NA	staphylococcous aureus methicillin resistant clinical isolate	NA	2786	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03343952	Staphylococcous aureus	NA	NA	Chromosome	8	133412	NA	32.5	30	38	1	98.85	0.54	v1.2.3	PRJNA274731	NA	human_physical | staphylococcous aureus methicillin resistant clinical isolate	human
GCF_000953985.1	Staphylococcus aureus	homo sapiens	orthopedic infection	NA	NA	NA	2784	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Workbench v. 7.5.2	SAMN03365925	LHSKBClinical	NA	NA	Scaffold	3	476947	NA	32.5	500	27	24	98.43	0.39	v1.2.4	PRJNA276072	NA	homo sapiens | orthopedic infection	human
GCF_000969225.1	Staphylococcus aureus	homo sapiens	biopsy of vertebra	NA	NA	NA	2847	Best-placed reference protein set; GeneMarkS-2+	A5-MiSeq v. 20141120; Geneious; Projector2	SAMN03444404	NA	NA	NA	Complete Genome	1	2849811	NA	33	137	1	1	98.67	0.3	v1.2.3	PRJNA279236	NA	homo sapiens | biopsy of vertebra	human
GCF_001018645.2	Staphylococcus aureus	homo sapiens	community aquired	NA	hyper-virulent, sequenced; cream-yellow colony; mssa476; atcc baa-1721	NA	2787	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255442	FDAARGOS_2	NA	NA	Complete Genome	1	2800003	NA	33	722.214	4	4	98.13	0.39	v1.2.4	PRJNA231221	NA	homo sapiens | community aquired | hyper-virulent, sequenced; cream-yellow colony; mssa476; atcc baa-1721	human
GCF_001018655.2	Staphylococcus aureus	homo sapiens	human	NA	pg01; nrs106, rn4220/pgo1	NA	2725	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255445	FDAARGOS_6	NA	NA	Complete Genome	1	2697644	NA	33	12.87	2	2	98.57	0.45	v1.2.3	PRJNA231221	NA	homo sapiens | human | pg01; nrs106, rn4220/pgo1	human
GCF_001018685.2	Staphylococcus aureus	homo sapiens	buttock abscess; community aquired	NA	beta-hemolytic; cream-yellow colony; tch 959 (usa300-hou-ms); atcc baa-1718	NA	2818	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255444	FDAARGOS_4	NA	NA	Complete Genome	1	2811767	NA	33	699.989	1	1	98.55	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | buttock abscess; community aquired | beta-hemolytic; cream-yellow colony; tch 959 (usa300-hou-ms); atcc baa-1718	human
GCF_001018725.2	Staphylococcus aureus	homo sapiens	human	NA	virulence factor staphylokinase; nrs129, nctc 8325 (rn0153)	NA	2932	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255449	FDAARGOS_10	NA	NA	Complete Genome	1	2873867	NA	33	637.349	1	1	98.72	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | virulence factor staphylokinase; nrs129, nctc 8325 (rn0153)	human
GCF_001018735.2	Staphylococcus aureus	homo sapiens	human	NA	non-pigmented, prn3038 (=pi258 blal443 repa3) tn551 on plasmid; nrs137, nctc 8325 (rn0453)	NA	2686	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255451	FDAARGOS_12	NA	NA	Complete Genome	1	2697640	NA	33	668.953	2	2	98.69	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | non-pigmented, prn3038 (=pi258 blal443 repa3) tn551 on plasmid; nrs137, nctc 8325 (rn0453)	human
GCF_001018775.2	Staphylococcus aureus	homo sapiens	human	NA	agr group ii; nrs149, 502a (rn6607)	NA	2758	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255453	FDAARGOS_14	NA	NA	Complete Genome	1	2764708	NA	33	671.317	1	1	98.66	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | agr group ii; nrs149, 502a (rn6607)	human
GCF_001018805.1	Staphylococcus aureus	homo sapiens	human	NA	pwbg32 (encodes efflux pump); nrs152, wgb4316 (rn7044)	NA	2814	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 3	SAMN03255454	FDAARGOS_15	NA	NA	Complete Genome	1	2799899	NA	33	609.988	1	1	98.69	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | pwbg32 (encodes efflux pump); nrs152, wgb4316 (rn7044)	human
GCF_001018835.2	Staphylococcus aureus	homo sapiens	wound	NA	containing phage type e-mrsa 15; nrs271	NA	2880	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255458	FDAARGOS_19	NA	NA	Complete Genome	1	2834014	NA	33	645.379	2	2	98.82	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | wound | containing phage type e-mrsa 15; nrs271	human
GCF_001018845.2	Staphylococcus aureus	homo sapiens	human	NA	exfoliatin a agr group iv, eta phage, exfoliative toxin; nrs153, rn8540	NA	2880	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255460	FDAARGOS_21	NA	NA	Complete Genome	1	2881244	NA	33	864.368	1	1	98.68	0.51	v1.2.3	PRJNA231221	NA	homo sapiens | human | exfoliatin a agr group iv, eta phage, exfoliative toxin; nrs153, rn8540	human
GCF_001018915.2	Staphylococcus aureus	homo sapiens	sepsis patient	NA	non-pigmented; virulence factor staphylokinase; rn0001, uv cured of ?11 and ?12. all nctc 8325 derivatives are agr group i; nrs133; nctc8325 (rn0025)	NA	2728	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255466	FDAARGOS_27	NA	NA	Complete Genome	1	2740361	NA	33	648.508	1	1	98.72	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | sepsis patient | non-pigmented; virulence factor staphylokinase; rn0001, uv cured of ?11 and ?12. all nctc 8325 derivatives are agr group i; nrs133; nctc8325 (rn0025)	human
GCF_001018975.2	Staphylococcus aureus	homo sapiens	human	NA	tsst-1, agr group iii prototype; sapi2 is a phase-related pathogenicity island ~10kb; transduction at high frequency by phage 80 (tox+) (mssa); nrs143; nctc8325 (rn3984)	NA	2857	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255469	FDAARGOS_30	NA	NA	Complete Genome	1	2861652	NA	33	999.072	1	1	98.03	0.68	v1.2.3	PRJNA231221	NA	homo sapiens | human | tsst-1, agr group iii prototype; sapi2 is a phase-related pathogenicity island ~10kb; transduction at high frequency by phage 80 (tox+) (mssa); nrs143; nctc8325 (rn3984)	human
GCF_001019125.2	Staphylococcus aureus	homo sapiens	fatal septicaemia and septic arthritis in a 16-month-old american-indian girl who had no risk factors associated with health care	NA	high virulence community-acquired strain of mrsa isolated in 1998 in north dakota, usa; strain mw2	NA	2796	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255482	FDAARGOS_43	NA	NA	Complete Genome	1	2820631	NA	33	524.581	1	1	98.68	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | fatal septicaemia and septic arthritis in a 16-month-old american-indian girl who had no risk factors associated with health care | high virulence community-acquired strain of mrsa isolated in 1998 in north dakota, usa; strain mw2	human
GCF_001019205.2	Staphylococcus aureus	homo sapiens	child - hospital pneumology ward	NA	sccmecivvar; hde288; rosenbach	NA	2870	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255487	FDAARGOS_48	NA	NA	Complete Genome	1	2834575	NA	33	592.305	4	4	98.44	0.98	v1.2.3	PRJNA231221	NA	homo sapiens | child - hospital pneumology ward | sccmecivvar; hde288; rosenbach	human
GCF_001019255.2	Staphylococcus aureus	homo sapiens	child - hospital pneumology ward	NA	pediatric clone of mrsa, absence of pvl gene confirmed by pcr, beta-hemolytic; cream-yellow colony; atcc baa-42; hde288	NA	2881	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255441	FDAARGOS_1	NA	NA	Complete Genome	1	2840018	NA	33	1070.38	5	5	98.46	0.68	v1.2.3	PRJNA231221	NA	homo sapiens | child - hospital pneumology ward | pediatric clone of mrsa, absence of pvl gene confirmed by pcr, beta-hemolytic; cream-yellow colony; atcc baa-42; hde288	human
GCF_001019275.2	Staphylococcus aureus	homo sapiens	human	NA	pg0400; nrs107, rn4220/pgo400	NA	2686	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255446	FDAARGOS_7	NA	NA	Complete Genome	1	2697122	NA	33	627.907	2	2	98.57	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | pg0400; nrs107, rn4220/pgo400	human
GCF_001019305.2	Staphylococcus aureus	homo sapiens	respiratory; pharyngeal smear	NA	nrs70, n315	NA	2785	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255448	FDAARGOS_9	NA	NA	Complete Genome	1	2814696	NA	33	552.862	1	1	98.87	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | respiratory; pharyngeal smear | nrs70, n315	human
GCF_001019395.2	Staphylococcus aureus	homo sapiens	wound	NA	typing strain, pulsed-field type: usa 1100; mlst 30; agr group iii; pvl positive, tsst negative, enterotoxins negative; nrs484, nrs484, usa 1100; hip 12899	NA	2776	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255459	FDAARGOS_20	NA	NA	Complete Genome	1	2818312	NA	33	564.58	1	1	98.33	0.54	v1.2.3	PRJNA231221	NA	homo sapiens | wound | typing strain, pulsed-field type: usa 1100; mlst 30; agr group iii; pvl positive, tsst negative, enterotoxins negative; nrs484, nrs484, usa 1100; hip 12899	human
GCF_001019415.2	Staphylococcus aureus	homo sapiens	human	NA	ermc, repf-, rsbu-; prn6441 is a derivative of pe194, a 3.8 kb rolling circle plasmid, with a mutation in repf causing thermosesitive replication, plus the insertion of the puc19 multiple cloning site in its single psti site. nrs146; nctc8325 (rn5843)	NA	2651	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255463	FDAARGOS_24	NA	NA	Complete Genome	1	2697471	NA	33	960.568	1	1	98.69	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | ermc, repf-, rsbu-; prn6441 is a derivative of pe194, a 3.8 kb rolling circle plasmid, with a mutation in repf causing thermosesitive replication, plus the insertion of the puc19 multiple cloning site in its single psti site. nrs146; nctc8325 (rn5843)	human
GCF_001019435.2	Staphylococcus aureus	homo sapiens	isolated from pus and debrided tissue at surgical incision in sternum	NA	nrs1; mu50; atcc 700699	NA	2878	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255464	FDAARGOS_25	NA	NA	Complete Genome	1	2878504	NA	33	896.261	1	1	98.13	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | isolated from pus and debrided tissue at surgical incision in sternum | nrs1; mu50; atcc 700699	human
GCF_001019485.2	Staphylococcus aureus	homo sapiens	peritoneal fluid inpatient/outpatient	NA	identical to nrs119 and closely related to nrs121 by pfge; nrs120; sa linr #13	NA	3008	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255474	FDAARGOS_35	NA	NA	Complete Genome	1	2955890	NA	33	677.084	1	1	97.8	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | peritoneal fluid inpatient/outpatient | identical to nrs119 and closely related to nrs121 by pfge; nrs120; sa linr #13	human
GCF_001019495.2	Staphylococcus aureus	homo sapiens	wound	NA	nrs1	NA	2900	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255479	FDAARGOS_40	NA	NA	Complete Genome	1	2878505	NA	33	526.505	2	2	97.94	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | wound | nrs1	human
GCF_001019535.2	Staphylococcus aureus	homo sapiens	fatal septicaemia and septic arthritis in a 16-month-old american-indian girl who had no risk factors associated with health care	NA	high virulence community-acquired strain of mrsa isolated in 1998 in north dakota, usa; mw2	NA	2795	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255481	FDAARGOS_42	NA	NA	Complete Genome	1	2819334	NA	33	537.667	1	1	98.72	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | fatal septicaemia and septic arthritis in a 16-month-old american-indian girl who had no risk factors associated with health care | high virulence community-acquired strain of mrsa isolated in 1998 in north dakota, usa; mw2	human
GCF_001019575.2	Staphylococcus aureus	homo sapiens	human	NA	clumping factor a,  qaca efflux pump; hpv107	NA	2937	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255486	FDAARGOS_47	NA	NA	Complete Genome	1	2877716	NA	33	550.53	2	2	98.32	0.39	v1.2.3	PRJNA231221	NA	homo sapiens | human | clumping factor a,  qaca efflux pump; hpv107	human
GCF_001021875.1	Staphylococcus aureus	homo sapiens	nasal swab	NA	staphylococcus aureus m121	NA	2960	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02746692	M121	NA	NA	Complete Genome	1	2896143	NA	33	548.54	2	2	98.29	0.39	v1.2.3	PRJNA246311	NA	homo sapiens | nasal swab | staphylococcus aureus m121	human
GCF_001021895.1	Staphylococcus aureus	homo sapiens	blood	NA	staphylococcus aureus st8 sccmeciv	NA	2880	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02767179	CA15	NA	NA	Complete Genome	1	2839253	NA	33	293.54	2	2	98.25	0.45	v1.2.3	PRJNA246386	NA	homo sapiens | blood | staphylococcus aureus st8 sccmeciv	human
GCF_001027045.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2752	Best-placed reference protein set; GeneMarkS-2+	SMRT portal v. 1; CLC Workbench v. 8	SAMN03699895	RKI4	NA	NA	Complete Genome	1	2725654	NA	33	NA	2	2	96.57	0.39	v1.2.3	PRJNA284222	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCF_001027105.1	Staphylococcus aureus	homo sapiens	clinical	NA	NA	NA	2764	Best-placed reference protein set; GeneMarkS-2+	HGAP3 v. 2.3.0	SAMN03651231	DSM 20231	aureus	NA	Complete Genome	1	2755072	NA	33	210	2	2	98.61	0.54	v1.2.4	PRJNA283471	NA	homo sapiens | clinical	human
GCF_001045795.2	Staphylococcus aureus	homo sapiens	bood	NA	staphylococcus aureus st8 sccmeciv	NA	2875	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02767090	CA12	NA	NA	Complete Genome	1	2840312	NA	33	209.64	2	2	97.67	0.39	v1.2.3	PRJNA246373	NA	homo sapiens | bood | staphylococcus aureus st8 sccmeciv	human
GCF_001045995.2	Staphylococcus aureus	homo sapiens	blood	NA	staphylococcus aureus huv5, st8 sccmec iv	NA	2918	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02767311	HUV05	NA	NA	Complete Genome	1	2842022	NA	32.5	543.52	4	4	98.53	1.71	v1.2.3	PRJNA246401	NA	homo sapiens | blood | staphylococcus aureus huv5, st8 sccmec iv	human
GCF_001046095.2	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2886	Best-placed reference protein set; GeneMarkS-2+	HGAPv2 v. 2	SAMN02743812	V2200	NA	NA	Complete Genome	1	2830976	NA	33	NA	2	2	98.47	2.04	v1.2.3	PRJNA246185	NA	homo sapiens	human
GCF_001078665.1	Staphylococcus aureus	NA	soil	NA	genome sequencing of staphylococcus aureus	NA	2706	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. 2.04	SAMN03774725	PX03	NA	NA	Scaffold	3	411917	NA	33	15	17	15	98.47	0.39	v1.2.3	PRJNA286954	NA	soil | genome sequencing of staphylococcus aureus	environment
GCF_001183705.3	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2988	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.9.1	SAMN03787328	USA300_2014.C01	NA	NA	Complete Genome	1	2917985	NA	33	167	3	3	97.99	0.39	v1.2.3	PRJNA287576	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCF_001183725.2	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2946	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.9.1	SAMN03787340	USA300_2014.C02	NA	NA	Complete Genome	1	2864345	NA	32.5	167	3	3	97.99	0.47	v1.2.3	PRJNA287791	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCF_001191895.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	3003	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324737	USFL024	NA	NA	Scaffold	3	346329	NA	32.5	100	36	35	97.94	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001192095.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2949	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710086	FL358	NA	NA	Scaffold	3	346516	NA	32.5	100	39	38	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001192675.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	3049	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324516	USFL204	NA	NA	Scaffold	2	472754	NA	32.5	100	31	27	97.85	0.85	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001192895.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2829	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1708990	BSAR747	NA	NA	Scaffold	7	125436	NA	32.5	100	38	37	98.78	0.39	v1.2.4	PRJEB2655	NA	homo sapiens | not known	human
GCF_001194825.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2931	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710081	FL368	NA	NA	Scaffold	6	160616	NA	32.5	100	45	44	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
