Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_000736455.1	Staphylococcus aureus	missing	strain HG003 was generated by Silvia Herbert in 2010 in the Microbial Genetics department of University of Tubingen, Germany; Herbert received the parental strain NCTC8325 from Richard Novick (NYU Langone Medical Center); parental strain NCTC8325 was isolated in 1960 from a sepsis patient at Colindale, Central Public Health Laboratory, London, UK				2851	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.1.0	SAMN02911820	HG003			Scaffold	3	392186		32.5	95	20	19	98.81	0.39	v1.2.3	PRJNA255272	
GCF_000743415.1	Staphylococcus aureus		unknown				2994	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.6; Velvet v. 1.2.08; AllPaths v. 39750; phredPhrap v. SPS - 4.24	SAMN02873989	CDC 73-57501			Scaffold	2	849604		33	683	16	2	96.89	0.94	v1.2.3	PRJNA244352	
GCF_000746505.1	Staphylococcus aureus	missing	missing				3047	Best-placed reference protein set; GeneMarkS-2+	HGAP2 v. v2	SAMN03290990	2395 USA500			Complete Genome	1	2955646		33		2	2	97.69	0.51	v1.2.3	PRJNA240091	
GCF_000756205.1	Staphylococcus aureus	Homo sapiens	clinical				2775	Best-placed reference protein set; GeneMarkS-2+	Celera Assembler v. 8.1	SAMN03009478	ATCC 25923			Complete Genome	1	2778854		33	408	2	2	98.41	0.62	v1.2.3	PRJNA259557	
GCF_000769575.1	Staphylococcus aureus		patient with hospital-associated wound infection		Staphylococcus aureus subsp. aureus strain GV69 belonging to the lineage ST239-SCCmecIII was isolated from a hospitalized patient presented with wound infection in Teresina, PI, Brazil in 1996. This isolate presents a natural attenuation of the agr-RNAIII transcription and a moderate ability to accumulate ica-independent biofilm.		3108	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.6	SAMN03144721	Gv69			Complete Genome	1	3046210		33	23	1	1	96.8	0.51	v1.2.3	PRJNA264181	
GCF_000772025.1	Staphylococcus aureus		parched beans				2882	Best-placed reference protein set; GeneMarkS-2+	SMRT Portal HGAP v. 3	SAMN03140315	FORC_001			Complete Genome	1	2886017		33	207	1	1	97.84	0.81	v1.2.3	PRJNA259937	
GCF_000788115.1	Staphylococcus aureus	Homo sapiens	hospital				2761	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.1.1	SAMN03222810	UAMS-1			Scaffold	1	1697176		32.5	110	7	2	97.43	0.71	v1.2.3	PRJNA268588	
GCF_000815045.1	Staphylococcus aureus	not applicable	Trypticase Soy Agar		Blue Light (450 nm) @55 J/cm2		2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251897	ATCC BAA1680			Complete Genome	1	2872768		33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	
GCF_000815085.1	Staphylococcus aureus	not applicable	Trypticase Soy Agar		Blue Light (450 nm) @110 J/cm2		2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251898	ATCC BAA1680			Complete Genome	1	2872779		33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	
GCF_000815125.1	Staphylococcus aureus	not applicable	Trypticase Soy Agar		Blue Light (450 nm) @110 J/cm2		2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar v. Version 12.0	SAMN03251894	ATCC BAA1680			Complete Genome	1	2872764		33	20	1	1	97.99	0.39	v1.2.3	PRJNA268517	
GCF_000815165.1	Staphylococcus aureus	not applicable	Trypticase Soy Agar		Control (no exposure)		2879	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251899	ATCC BAA1680			Complete Genome	1	2872779		33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	
GCF_000815205.1	Staphylococcus aureus	not applicable	Trypticase Soy Agar		Control (no exposure)		2880	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251895	ATCC BAA1680			Complete Genome	1	2872781		33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	
GCF_000815245.1	Staphylococcus aureus	not applicable	Trypticase Soy Agar		Blue Light (450 nm) @3 J/cm2		2881	Best-placed reference protein set; GeneMarkS-2+	DNAStar SeqMan NGEN v. Version 12	SAMN03251896	ATCC BAA1680			Complete Genome	1	2872771		33	350	1	1	97.99	0.39	v1.2.3	PRJNA268517	
GCF_000829795.1	Staphylococcus aureus						2807	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.6	SAMD00018594	M2			Scaffold	15	55397		32.5	200	78	2	96.36	0.46	v1.2.3	PRJDB2959	
GCF_000855655.1	Staphylococcus aureus	Homo sapiens					2755	Best-placed reference protein set; GeneMarkS-2+	SPADES v. 3.1.1	SAMN03287942	aless			Scaffold	10	80390		32.5	200	64	62	98.21	0.54	v1.2.4	PRJNA272947	
GCF_000932245.1	Staphylococcus aureus	Homo sapiens	Surgical wound				2918	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. NOV-2014	SAMN03253089	P180			Scaffold	5	202021		33	185	47	45	98.54	0.39	v1.2.3	PRJNA269214	
GCF_000934185.1	Staphylococcus aureus		Human_physical		Staphylococcous aureus methicillin resistant clinical isolate		2745	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339002	Staphylococcous aureus			Chromosome	8	130386		32.5	30	30	1	98.11	0.39	v1.2.3	PRJNA274731	
GCF_000934205.1	Staphylococcus aureus		Human_physical		Staphylococcous aureus methicillin resistant clinical isolate		2648	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339003	Staphylococcous aureus			Chromosome	6	166699		32.5	30	31	1	97.46	0.3	v1.2.3	PRJNA274731	
GCF_000934245.1	Staphylococcus aureus		Human_physical		Staphylococcous aureus methicillin resistant clinical isolate		2721	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339012	Staphylococcous aureus			Chromosome	6	182434		32.5	30	27	1	98.57	0.34	v1.2.3	PRJNA274731	
GCF_000934265.1	Staphylococcus aureus		Human_physical		Staphylococcous aureus methicillin resistant clinical isolate		2716	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03339013	Staphylococcous aureus			Chromosome	6	146686		32.5	30	26	1	98.4	0.34	v1.2.3	PRJNA274731	
GCF_000934925.1	Staphylococcus aureus		Human_physical		Staphylococcous aureus methicillin resistant clinical isolate		2786	Best-placed reference protein set; GeneMarkS-2+	CLC v. 7	SAMN03343952	Staphylococcous aureus			Chromosome	8	133412		32.5	30	38	1	98.85	0.54	v1.2.3	PRJNA274731	
GCF_000953255.1	Staphylococcus aureus						2893	Best-placed reference protein set; GeneMarkS-2+	MIRA4.0	SAMEA2743223	ILRI_Eymole1/1			Complete Genome	1	2874302		33	109	1	1	96.23	0.57	v1.2.3	PRJEB6577	
GCF_000953985.1	Staphylococcus aureus	Homo sapiens	Orthopedic infection				2784	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Workbench v. 7.5.2	SAMN03365925	LHSKBClinical			Scaffold	3	476947		32.5	500	27	24	98.43	0.39	v1.2.4	PRJNA276072	
GCF_000969225.1	Staphylococcus aureus	Homo sapiens	biopsy of vertebra				2847	Best-placed reference protein set; GeneMarkS-2+	A5-MiSeq v. 20141120; Geneious; Projector2	SAMN03444404				Complete Genome	1	2849811		33	137	1	1	98.67	0.3	v1.2.3	PRJNA279236	
GCF_001018645.2	Staphylococcus aureus	Homo sapiens	community aquired		Hyper-virulent, sequenced; cream-yellow colony; MSSA476; ATCC BAA-1721		2787	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255442	FDAARGOS_2			Complete Genome	1	2800003		33	722.214	4	4	98.13	0.39	v1.2.4	PRJNA231221	
GCF_001018655.2	Staphylococcus aureus	Homo sapiens	human		Pg01; NRS106, RN4220/Pgo1		2725	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255445	FDAARGOS_6			Complete Genome	1	2697644		33	12.87	2	2	98.57	0.45	v1.2.3	PRJNA231221	
GCF_001018685.2	Staphylococcus aureus	Homo sapiens	buttock abscess; community aquired		Beta-hemolytic; cream-yellow colony; TCH 959 (USA300-HOU-MS); ATCC BAA-1718		2818	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255444	FDAARGOS_4			Complete Genome	1	2811767		33	699.989	1	1	98.55	0.39	v1.2.3	PRJNA231221	
GCF_001018725.2	Staphylococcus aureus	Homo sapiens	human		Virulence factor staphylokinase; NRS129, NCTC 8325 (RN0153)		2932	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255449	FDAARGOS_10			Complete Genome	1	2873867		33	637.349	1	1	98.72	0.39	v1.2.3	PRJNA231221	
GCF_001018735.2	Staphylococcus aureus	Homo sapiens	human		Non-pigmented, pRN3038 (=PI258 blal443 repA3) Tn551 on plasmid; NRS137, NCTC 8325 (RN0453)		2686	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255451	FDAARGOS_12			Complete Genome	1	2697640		33	668.953	2	2	98.69	0.39	v1.2.3	PRJNA231221	
GCF_001018775.2	Staphylococcus aureus	Homo sapiens	human		agr group II; NRS149, 502A (RN6607)		2758	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255453	FDAARGOS_14			Complete Genome	1	2764708		33	671.317	1	1	98.66	0.39	v1.2.3	PRJNA231221	
GCF_001018805.1	Staphylococcus aureus	Homo sapiens	human		pWBG32 (encodes efflux pump); NRS152, WGB4316 (RN7044)		2814	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 3	SAMN03255454	FDAARGOS_15			Complete Genome	1	2799899		33	609.988	1	1	98.69	0.39	v1.2.3	PRJNA231221	
GCF_001018835.2	Staphylococcus aureus	Homo sapiens	wound		Containing phage type E-MRSA 15; NRS271		2880	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255458	FDAARGOS_19			Complete Genome	1	2834014		33	645.379	2	2	98.82	0.39	v1.2.3	PRJNA231221	
GCF_001018845.2	Staphylococcus aureus	Homo sapiens	human		Exfoliatin A agr group IV, eta phage, exfoliative toxin; NRS153, RN8540		2880	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255460	FDAARGOS_21			Complete Genome	1	2881244		33	864.368	1	1	98.68	0.51	v1.2.3	PRJNA231221	
GCF_001018915.2	Staphylococcus aureus	Homo sapiens	sepsis patient		Non-pigmented; virulence factor staphylokinase; RN0001, UV cured of ?11 and ?12. all NCTC 8325 derivatives are agr group I; NRS133; NCTC8325 (RN0025)		2728	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255466	FDAARGOS_27			Complete Genome	1	2740361		33	648.508	1	1	98.72	0.39	v1.2.3	PRJNA231221	
GCF_001018975.2	Staphylococcus aureus	Homo sapiens	human		TSST-1, agr group III prototype; SaPI2 is a phase-related pathogenicity island ~10kb; transduction at high frequency by phage 80 (TOX+) (MSSA); NRS143; NCTC8325 (RN3984)		2857	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255469	FDAARGOS_30			Complete Genome	1	2861652		33	999.072	1	1	98.03	0.68	v1.2.3	PRJNA231221	
GCF_001019125.2	Staphylococcus aureus	Homo sapiens	fatal septicaemia and septic arthritis in a 16-month-old American-Indian girl who had no risk factors associated with health care		High virulence community-acquired strain of MRSA isolated in 1998 in North Dakota, USA; Strain Mw2		2796	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255482	FDAARGOS_43			Complete Genome	1	2820631		33	524.581	1	1	98.68	0.39	v1.2.3	PRJNA231221	
GCF_001019205.2	Staphylococcus aureus	Homo sapiens	child - hospital pneumology ward		SCCmecIVvar; HDE288; Rosenbach		2870	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255487	FDAARGOS_48			Complete Genome	1	2834575		33	592.305	4	4	98.44	0.98	v1.2.3	PRJNA231221	
GCF_001019255.2	Staphylococcus aureus	Homo sapiens	child - hospital pneumology ward		Pediatric clone of MRSA, Absence of pvl gene confirmed by PCR, beta-hemolytic; cream-yellow colony; ATCC BAA-42; HDE288		2881	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255441	FDAARGOS_1			Complete Genome	1	2840018		33	1070.38	5	5	98.46	0.68	v1.2.3	PRJNA231221	
GCF_001019275.2	Staphylococcus aureus	Homo sapiens	human		Pg0400; NRS107, RN4220/pGO400		2686	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255446	FDAARGOS_7			Complete Genome	1	2697122		33	627.907	2	2	98.57	0.39	v1.2.3	PRJNA231221	
GCF_001019305.2	Staphylococcus aureus	Homo sapiens	respiratory; pharyngeal smear		NRS70, N315		2785	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255448	FDAARGOS_9			Complete Genome	1	2814696		33	552.862	1	1	98.87	0.39	v1.2.3	PRJNA231221	
GCF_001019395.2	Staphylococcus aureus	Homo sapiens	wound		Typing strain, Pulsed-field type: USA 1100; MLST 30; Agr group iii; PVL positive, TSST negative, enterotoxins negative; NRS484, NRS484, USA 1100; HIP 12899		2776	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255459	FDAARGOS_20			Complete Genome	1	2818312		33	564.58	1	1	98.33	0.54	v1.2.3	PRJNA231221	
GCF_001019415.2	Staphylococcus aureus	Homo sapiens	human		ermC, repF-, rsbU-; pRN6441 is a derivative of pE194, a 3.8 kb rolling circle plasmid, with a mutation in repF causing thermosesitive replication, plus the insertion of the puC19 multiple cloning site in its single PstI site. NRS146; NCTC8325 (RN5843)		2651	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255463	FDAARGOS_24			Complete Genome	1	2697471		33	960.568	1	1	98.69	0.39	v1.2.3	PRJNA231221	
GCF_001019435.2	Staphylococcus aureus	Homo sapiens	Isolated from pus and debrided tissue at surgical incision in sternum		NRS1; Mu50; ATCC 700699		2878	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255464	FDAARGOS_25			Complete Genome	1	2878504		33	896.261	1	1	98.13	0.39	v1.2.3	PRJNA231221	
GCF_001019485.2	Staphylococcus aureus	Homo sapiens	peritoneal fluid inpatient/outpatient		Identical to NRS119 and closely related to NRS121 by PFGE; NRS120; SA LinR #13		3008	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255474	FDAARGOS_35			Complete Genome	1	2955890		33	677.084	1	1	97.8	0.39	v1.2.3	PRJNA231221	
GCF_001019495.2	Staphylococcus aureus	Homo sapiens	wound		NRS1		2900	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255479	FDAARGOS_40			Complete Genome	1	2878505		33	526.505	2	2	97.94	0.39	v1.2.3	PRJNA231221	
GCF_001019535.2	Staphylococcus aureus	Homo sapiens	fatal septicaemia and septic arthritis in a 16-month-old American-Indian girl who had no risk factors associated with health care		High virulence community-acquired strain of MRSA isolated in 1998 in North Dakota, USA; Mw2		2795	Best-placed reference protein set; GeneMarkS-2+	Celera v. 8.1	SAMN03255481	FDAARGOS_42			Complete Genome	1	2819334		33	537.667	1	1	98.72	0.39	v1.2.3	PRJNA231221	
GCF_001019575.2	Staphylococcus aureus	Homo sapiens	human		clumping factor A,  qacA efflux pump; HPV107		2937	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2	SAMN03255486	FDAARGOS_47			Complete Genome	1	2877716		33	550.53	2	2	98.32	0.39	v1.2.3	PRJNA231221	
GCF_001021875.1	Staphylococcus aureus	Homo sapiens	nasal swab		Staphylococcus aureus M121		2960	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02746692	M121			Complete Genome	1	2896143		33	548.54	2	2	98.29	0.39	v1.2.3	PRJNA246311	
GCF_001021895.1	Staphylococcus aureus	Homo sapiens	blood		Staphylococcus aureus ST8 SCCmecIV		2880	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02767179	CA15			Complete Genome	1	2839253		33	293.54	2	2	98.25	0.45	v1.2.3	PRJNA246386	
GCF_001027045.1	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2752	Best-placed reference protein set; GeneMarkS-2+	SMRT portal v. 1; CLC Workbench v. 8	SAMN03699895	RKI4			Complete Genome	1	2725654		33		2	2	96.57	0.39	v1.2.3	PRJNA284222	
GCF_001027105.1	Staphylococcus aureus	Homo sapiens	clinical				2764	Best-placed reference protein set; GeneMarkS-2+	HGAP3 v. 2.3.0	SAMN03651231	DSM 20231	aureus		Complete Genome	1	2755072		33	210	2	2	98.61	0.54	v1.2.4	PRJNA283471	
GCF_001045615.1	Staphylococcus aureus	Homo sapiens	perirectal				3049	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. 11-12-2011	SAMN03161113	#32S			Scaffold	13	76042		32.5	20	148	118	98.85	0.39	v1.2.3	PRJNA266317	
GCF_001045795.2	Staphylococcus aureus	Homo sapiens	bood		Staphylococcus aureus ST8 SCCmecIV		2875	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02767090	CA12			Complete Genome	1	2840312		33	209.64	2	2	97.67	0.39	v1.2.3	PRJNA246373	
GCF_001045995.2	Staphylococcus aureus	Homo sapiens	blood		Staphylococcus aureus HUV5, ST8 SCCmec IV 		2918	Best-placed reference protein set; GeneMarkS-2+	HGAP v. v2	SAMN02767311	HUV05			Complete Genome	1	2842022		32.5	543.52	4	4	98.53	1.71	v1.2.3	PRJNA246401	
GCF_001046035.1	Staphylococcus aureus	Homo sapiens	Surgical wound		Staphylococcus aureus V1859 USA300 related SCCmecIv		3221	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Workbench v. 7.5.1	SAMN02780896	V1859			Scaffold	3	345855		33	254	414	412	98.52	1.06	v1.2.3	PRJNA247762	
GCF_001046095.2	Staphylococcus aureus	Homo sapiens	missing				2886	Best-placed reference protein set; GeneMarkS-2+	HGAPv2 v. 2	SAMN02743812	V2200			Complete Genome	1	2830976		33		2	2	98.47	2.04	v1.2.3	PRJNA246185	
GCF_001060135.1	Staphylococcus aureus	Homo sapiens	missing				2751	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03196980	1018_SAUR			Scaffold	16	48758		32.5	27	146	145	98.24	0.39	v1.2.3	PRJNA267549	
GCF_001060505.1	Staphylococcus aureus	Homo sapiens	missing				3109	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197153	1193_SAUR			Scaffold	15	71059		32.5	26	100	93	97.48	0.39	v1.2.3	PRJNA267549	
GCF_001060535.1	Staphylococcus aureus	Homo sapiens	missing				3114	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197154	1194_SAUR			Scaffold	14	71803		32.5	23	93	92	97.48	0.39	v1.2.3	PRJNA267549	
GCF_001060615.1	Staphylococcus aureus	Homo sapiens	missing				2926	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197193	1229_SAUR			Scaffold	17	48478		32.5	46	176	175	97.99	0.39	v1.2.3	PRJNA267549	
GCF_001060705.1	Staphylococcus aureus	Homo sapiens	missing				2804	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197228	1260_SAUR			Scaffold	13	71804		32.5	44	119	118	98.23	0.39	v1.2.3	PRJNA267549	
GCF_001060795.1	Staphylococcus aureus	Homo sapiens	missing				2905	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197254	1283_SAUR			Scaffold	14	75966		32.5	26	128	127	97.79	0.39	v1.2.3	PRJNA267549	
GCF_001060875.1	Staphylococcus aureus	Homo sapiens	missing				2750	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03196979	1017_SAUR			Scaffold	16	46589		32.5	24	150	149	98.24	0.39	v1.2.3	PRJNA267549	
GCF_001061065.1	Staphylococcus aureus	Homo sapiens	missing				2740	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197077	1122_SAUR			Scaffold	15	52818		32.5	22	118	117	98.83	0.39	v1.2.3	PRJNA267549	
GCF_001061155.1	Staphylococcus aureus	Homo sapiens	missing				2699	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197112	1156_SAUR			Scaffold	14	72273		32.5	14	71	70	98.35	0.39	v1.2.3	PRJNA267549	
GCF_001061375.1	Staphylococcus aureus	Homo sapiens	missing				2797	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197230	1262_SAUR			Scaffold	15	55055		32.5	19	152	150	98.23	0.39	v1.2.3	PRJNA267549	
GCF_001061385.1	Staphylococcus aureus	Homo sapiens	missing				2905	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197234	1266_SAUR			Scaffold	20	42537		32.5	75	185	183	97.99	0.61	v1.2.3	PRJNA267549	
GCF_001061405.1	Staphylococcus aureus	Homo sapiens	missing				2802	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197246	1276_SAUR			Scaffold	15	55073		32.5	51	134	133	98.23	0.39	v1.2.3	PRJNA267549	
GCF_001061545.1	Staphylococcus aureus	Homo sapiens	missing				2903	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197298	1320_SAUR			Scaffold	62	11590		32.5	28	544	542	96.88	1.01	v1.2.3	PRJNA267549	
GCF_001061555.1	Staphylococcus aureus	Homo sapiens	missing				2699	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197301	1322_2_SAUR			Scaffold	15	60396		32.5	27	111	109	98.44	0.4	v1.2.3	PRJNA267549	
GCF_001061695.1	Staphylococcus aureus	Homo sapiens	missing				2762	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197336	147_SAUR			Scaffold	10	107194		32.5	38	63	61	98.72	0.39	v1.2.3	PRJNA267549	
GCF_001061995.1	Staphylococcus aureus	Homo sapiens	missing				2876	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197080	1125_SAUR			Scaffold	17	62541		33	54	120	119	98.33	0.39	v1.2.3	PRJNA267549	
GCF_001062035.1	Staphylococcus aureus	Homo sapiens	missing				2757	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197093	1139.rep1_SAUR			Scaffold	16	51999		32.5	11	144	143	98.73	0.39	v1.2.3	PRJNA267549	
GCF_001062115.1	Staphylococcus aureus	Homo sapiens	missing				2860	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197115	1159_SAUR			Scaffold	16	52151		32.5	35	123	121	98.87	0.39	v1.2.3	PRJNA267549	
GCF_001062155.1	Staphylococcus aureus	Homo sapiens	missing				2903	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197131	1174_SAUR			Scaffold	13	86230		32.5	38	88	84	98.87	0.39	v1.2.3	PRJNA267549	
GCF_001062195.1	Staphylococcus aureus	Homo sapiens	missing				2832	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197136	1179_SAUR			Scaffold	12	90083		33	54	74	72	98.85	0.39	v1.2.3	PRJNA267549	
GCF_001062455.1	Staphylococcus aureus	Homo sapiens	missing				2815	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197222	1255_SAUR			Scaffold	17	49369		32.5	41	157	156	98.23	0.39	v1.2.3	PRJNA267549	
GCF_001062485.1	Staphylococcus aureus	Homo sapiens	missing				2795	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197226	1259_SAUR			Scaffold	14	66173		32.5	46	118	117	97.36	0.68	v1.2.3	PRJNA267549	
